episode,broadcast_title,region,missing_fields,search_query,restaurant_name,address,menu,review,place_id,verified
253,온주완과 함께하는 섬섬여수 섬 밥상,전라남도 여수시,"address,menu,place_id,restaurant_name,review",백반기행 253회 온주완과 함께하는 섬섬여수 섬 밥상 맛집,"돋을볕식당,경도 갯장어집",,,,,Y(에이전트 샘플채움)
252,시원시원하다! 이상엽 삼척 밥상,강원특별자치도 삼척시,"address,menu,place_id,restaurant_name,review",백반기행 252회 시원시원하다! 이상엽 삼척 밥상 맛집,남도호해물포차,,,,,Y(에이전트 샘플채움)
251,맛의 정글! 김병만의 동두천 밥상,경기도 동두천시,"address,menu,place_id,restaurant_name,review",백반기행 251회 맛의 정글! 김병만의 동두천 밥상 맛집,"손칼국수,평남면옥",,,,,Y(에이전트 샘플채움)
236,味남이시네요 향기로운 영월 밥상,강원특별자치도 영월군,"address,menu,place_id,restaurant_name,review",백반기행 236회 味남이시네요 향기로운 영월 밥상 맛집,"강언덕숲속이야기,주천묵집",,,,,Y(에이전트 본문검증채움)
231,겨울방학 특집! 양주 나들이 밥상 2,경기도 양주시,"address,menu,place_id,restaurant_name,review",백반기행 231회 겨울방학 특집! 양주 나들이 밥상 2 맛집,초록밥상,경기 양주시,,,,Y(검색정형포맷-검증권장)
230,겨울방학 특집! 양주 나들이 밥상,경기도 양주시,"address,menu,place_id,restaurant_name,review",백반기행 230회 겨울방학 특집! 양주 나들이 밥상 맛집,환희정,,,,,Y(에이전트 본문검증채움)
227,따뜻하다! 성탄 나눔 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 227회 따뜻하다! 성탄 나눔 밥상 맛집,청년밥상문간,서울 성북구 보국문로 11길 18-2 2층,,,,Y(검색정형포맷-검증권장)
224,우리가 사랑한 백반! 강진 남도 밥상,전라남도 강진군,"address,menu,place_id,restaurant_name,review",백반기행 224회 우리가 사랑한 백반! 강진 남도 밥상 맛집,가우도수라상,,,,,Y(에이전트 본문검증채움)
219,별그대? 맛그대! 대학로 신성 밥상,,"address,menu,place_id,restaurant_name,review,sido,sigungu",백반기행 219회 별그대? 맛그대! 대학로 신성 밥상 맛집,풍농식당,,,,,Y(에이전트 본문검증채움)
217,찬란하게 꽃피우다! 복된 진주 밥상,경상남도 진주시,"address,menu,place_id,restaurant_name,review",백반기행 217회 찬란하게 꽃피우다! 복된 진주 밥상 맛집,"설향,은성게장",,,,,Y(에이전트 본문검증채움)
