episode,air_date,title,region,detail_url
3,2019-05-30,맛있는 위안 - 든든한 충무로 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/197334.cstv?search_text=
4,2019-06-06,'단디' 차린 - 부산 밥상,부산광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/197604.cstv?search_text=
5,2019-06-28,반전 매력의 기찬 맛 - 강화도 밥상,인천광역시 강화군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/198671.cstv?search_text=
6,2019-07-05,모 아니면 도! - 고집 센 대구밥상,대구광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/199023.cstv?search_text=
7,2019-07-11,0780 서울의 맛 - 서대문 밥상,서울특별시 서대문구,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/199353.cstv?search_text=
9,2019-07-27,명불허전! - 목포밥상 2,전라남도 목포시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/200351.cstv?search_text=
10,2019-08-05,진짜배기 강원도 - 삼척 밥상,강원특별자치도 삼척시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/200952.cstv?search_text=
11,2019-08-09,섬마을 신안의 농익은 맛! - 신안 밥상,전라남도 신안군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/201257.cstv?search_text=
12,2019-08-17,맛있는 추억이 담긴 - 남산 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/201820.cstv?search_text=
14,2019-09-01,"뚝심 있는 맛, 대전 밥상",대전광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/202697.cstv?search_text=
17,2019-09-21,"초가을, 물오른 순천의 맛",전라남도 순천시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/203811.cstv?search_text=
20,2019-10-11,제주의 가을은 맛 좋아마씀,제주특별자치도,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/204901.cstv?search_text=
21,2019-10-18,이거 하나면 거뜬하다! - 수원밥상,경기도 수원시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/205241.cstv?search_text=
27,2019-11-29,옹골지게 맛있다! 구례 밥상,전라남도 구례군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/207091.cstv?search_text=
31,2019-12-28,제대로 보니 맛있구나! 춘천 밥상,강원특별자치도 춘천시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/209857.cstv?search_text=
33,2020-01-10,속속들이 맛있다! 여수 밥상,전라남도 여수시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/212487.cstv?search_text=
39,2020-02-21,기백 넘치는 맛! 함양 밥상,경상남도 함양군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/327632.cstv?search_text=
